MAMH           |        ID|NOIDUNG                                                                                                                                                                                                                                                                                                     |A                                                                                                   |B                                                                                                   |C                                                                                                   |D                                                                                                   |A|S
INT13145       |0000000018|Cau hoi 8 cua mon Cau truc du lieu va giai thuat (INT13145)                                                                                                                                                                                                                                                 |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT13145       |0000000019|Cau hoi 9 cua mon Cau truc du lieu va giai thuat (INT13145)                                                                                                                                                                                                                                                 |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT13145       |0000000020|Cau hoi 10 cua mon Cau truc du lieu va giai thuat (INT13145)                                                                                                                                                                                                                                                |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1332        |0000000021|Cau hoi 1 cua mon Co so du lieu (INT1332)                                                                                                                                                                                                                                                                   |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1332        |0000000022|Cau hoi 2 cua mon Co so du lieu (INT1332)                                                                                                                                                                                                                                                                   |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1332        |0000000023|Cau hoi 3 cua mon Co so du lieu (INT1332)                                                                                                                                                                                                                                                                   |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1332        |0000000024|Cau hoi 4 cua mon Co so du lieu (INT1332)                                                                                                                                                                                                                                                                   |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1332        |0000000025|Cau hoi 5 cua mon Co so du lieu (INT1332)                                                                                                                                                                                                                                                                   |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1332        |0000000026|Cau hoi 6 cua mon Co so du lieu (INT1332)                                                                                                                                                                                                                                                                   |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1332        |0000000027|Cau hoi 7 cua mon Co so du lieu (INT1332)                                                                                                                                                                                                                                                                   |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1332        |0000000028|Cau hoi 8 cua mon Co so du lieu (INT1332)                                                                                                                                                                                                                                                                   |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1332        |0000000029|Cau hoi 9 cua mon Co so du lieu (INT1332)                                                                                                                                                                                                                                                                   |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1332        |0000000030|Cau hoi 10 cua mon Co so du lieu (INT1332)                                                                                                                                                                                                                                                                  |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1415        |0000000031|Cau hoi 1 cua mon Mang may tinh (INT1415)                                                                                                                                                                                                                                                                   |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1415        |0000000032|Cau hoi 2 cua mon Mang may tinh (INT1415)                                                                                                                                                                                                                                                                   |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1415        |0000000033|Cau hoi 3 cua mon Mang may tinh (INT1415)                                                                                                                                                                                                                                                                   |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1415        |0000000034|Cau hoi 4 cua mon Mang may tinh (INT1415)                                                                                                                                                                                                                                                                   |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1415        |0000000035|Cau hoi 5 cua mon Mang may tinh (INT1415)                                                                                                                                                                                                                                                                   |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1415        |0000000036|Cau hoi 6 cua mon Mang may tinh (INT1415)                                                                                                                                                                                                                                                                   |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1415        |0000000037|Cau hoi 7 cua mon Mang may tinh (INT1415)                                                                                                                                                                                                                                                                   |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1415        |0000000038|Cau hoi 8 cua mon Mang may tinh (INT1415)                                                                                                                                                                                                                                                                   |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1415        |0000000039|Cau hoi 9 cua mon Mang may tinh (INT1415)                                                                                                                                                                                                                                                                   |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1415        |0000000040|Cau hoi 10 cua mon Mang may tinh (INT1415)                                                                                                                                                                                                                                                                  |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1301        |0000000041|Cau hoi 1 cua mon He dieu hanh (INT1301)                                                                                                                                                                                                                                                                    |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1301        |0000000042|Cau hoi 2 cua mon He dieu hanh (INT1301)                                                                                                                                                                                                                                                                    |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1301        |0000000043|Cau hoi 3 cua mon He dieu hanh (INT1301)                                                                                                                                                                                                                                                                    |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1301        |0000000044|Cau hoi 4 cua mon He dieu hanh (INT1301)                                                                                                                                                                                                                                                                    |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1301        |0000000045|Cau hoi 5 cua mon He dieu hanh (INT1301)                                                                                                                                                                                                                                                                    |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1301        |0000000046|Cau hoi 6 cua mon He dieu hanh (INT1301)                                                                                                                                                                                                                                                                    |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1301        |0000000047|Cau hoi 7 cua mon He dieu hanh (INT1301)                                                                                                                                                                                                                                                                    |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1301        |0000000048|Cau hoi 8 cua mon He dieu hanh (INT1301)                                                                                                                                                                                                                                                                    |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1301        |0000000049|Cau hoi 9 cua mon He dieu hanh (INT1301)                                                                                                                                                                                                                                                                    |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1301        |0000000050|Cau hoi 10 cua mon He dieu hanh (INT1301)                                                                                                                                                                                                                                                                   |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1302        |0000000051|Cau hoi 1 cua mon Kien truc may tinh (INT1302)                                                                                                                                                                                                                                                              |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1302        |0000000052|Cau hoi 2 cua mon Kien truc may tinh (INT1302)                                                                                                                                                                                                                                                              |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1302        |0000000053|Cau hoi 3 cua mon Kien truc may tinh (INT1302)                                                                                                                                                                                                                                                              |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1302        |0000000054|Cau hoi 4 cua mon Kien truc may tinh (INT1302)                                                                                                                                                                                                                                                              |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1302        |0000000055|Cau hoi 5 cua mon Kien truc may tinh (INT1302)                                                                                                                                                                                                                                                              |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1302        |0000000056|Cau hoi 6 cua mon Kien truc may tinh (INT1302)                                                                                                                                                                                                                                                              |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1302        |0000000057|Cau hoi 7 cua mon Kien truc may tinh (INT1302)                                                                                                                                                                                                                                                              |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1302        |0000000058|Cau hoi 8 cua mon Kien truc may tinh (INT1302)                                                                                                                                                                                                                                                              |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1302        |0000000059|Cau hoi 9 cua mon Kien truc may tinh (INT1302)                                                                                                                                                                                                                                                              |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1302        |0000000060|Cau hoi 10 cua mon Kien truc may tinh (INT1302)                                                                                                                                                                                                                                                             |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1303        |0000000061|Cau hoi 1 cua mon Tri tue nhan tao (INT1303)                                                                                                                                                                                                                                                                |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1303        |0000000062|Cau hoi 2 cua mon Tri tue nhan tao (INT1303)                                                                                                                                                                                                                                                                |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1303        |0000000063|Cau hoi 3 cua mon Tri tue nhan tao (INT1303)                                                                                                                                                                                                                                                                |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1303        |0000000064|Cau hoi 4 cua mon Tri tue nhan tao (INT1303)                                                                                                                                                                                                                                                                |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1303        |0000000065|Cau hoi 5 cua mon Tri tue nhan tao (INT1303)                                                                                                                                                                                                                                                                |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1303        |0000000066|Cau hoi 6 cua mon Tri tue nhan tao (INT1303)                                                                                                                                                                                                                                                                |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1303        |0000000067|Cau hoi 7 cua mon Tri tue nhan tao (INT1303)                                                                                                                                                                                                                                                                |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1303        |0000000068|Cau hoi 8 cua mon Tri tue nhan tao (INT1303)                                                                                                                                                                                                                                                                |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1303        |0000000069|Cau hoi 9 cua mon Tri tue nhan tao (INT1303)                                                                                                                                                                                                                                                                |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1303        |0000000070|Cau hoi 10 cua mon Tri tue nhan tao (INT1303)                                                                                                                                                                                                                                                               |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1304        |0000000071|Cau hoi 1 cua mon Hoc may (INT1304)                                                                                                                                                                                                                                                                         |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1304        |0000000072|Cau hoi 2 cua mon Hoc may (INT1304)                                                                                                                                                                                                                                                                         |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1304        |0000000073|Cau hoi 3 cua mon Hoc may (INT1304)                                                                                                                                                                                                                                                                         |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1304        |0000000074|Cau hoi 4 cua mon Hoc may (INT1304)                                                                                                                                                                                                                                                                         |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1304        |0000000075|Cau hoi 5 cua mon Hoc may (INT1304)                                                                                                                                                                                                                                                                         |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1304        |0000000076|Cau hoi 6 cua mon Hoc may (INT1304)                                                                                                                                                                                                                                                                         |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1304        |0000000077|Cau hoi 7 cua mon Hoc may (INT1304)                                                                                                                                                                                                                                                                         |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1304        |0000000078|Cau hoi 8 cua mon Hoc may (INT1304)                                                                                                                                                                                                                                                                         |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1304        |0000000079|Cau hoi 9 cua mon Hoc may (INT1304)                                                                                                                                                                                                                                                                         |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1304        |0000000080|Cau hoi 10 cua mon Hoc may (INT1304)                                                                                                                                                                                                                                                                        |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1305        |0000000081|Cau hoi 1 cua mon Phan tich thiet ke he thong (INT1305)                                                                                                                                                                                                                                                     |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1305        |0000000082|Cau hoi 2 cua mon Phan tich thiet ke he thong (INT1305)                                                                                                                                                                                                                                                     |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1305        |0000000083|Cau hoi 3 cua mon Phan tich thiet ke he thong (INT1305)                                                                                                                                                                                                                                                     |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1305        |0000000084|Cau hoi 4 cua mon Phan tich thiet ke he thong (INT1305)                                                                                                                                                                                                                                                     |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1305        |0000000085|Cau hoi 5 cua mon Phan tich thiet ke he thong (INT1305)                                                                                                                                                                                                                                                     |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1305        |0000000086|Cau hoi 6 cua mon Phan tich thiet ke he thong (INT1305)                                                                                                                                                                                                                                                     |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1305        |0000000087|Cau hoi 7 cua mon Phan tich thiet ke he thong (INT1305)                                                                                                                                                                                                                                                     |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1305        |0000000088|Cau hoi 8 cua mon Phan tich thiet ke he thong (INT1305)                                                                                                                                                                                                                                                     |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1305        |0000000089|Cau hoi 9 cua mon Phan tich thiet ke he thong (INT1305)                                                                                                                                                                                                                                                     |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1305        |0000000090|Cau hoi 10 cua mon Phan tich thiet ke he thong (INT1305)                                                                                                                                                                                                                                                    |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1306        |0000000091|Cau hoi 1 cua mon Cong nghe phan mem (INT1306)                                                                                                                                                                                                                                                              |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1306        |0000000092|Cau hoi 2 cua mon Cong nghe phan mem (INT1306)                                                                                                                                                                                                                                                              |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1306        |0000000093|Cau hoi 3 cua mon Cong nghe phan mem (INT1306)                                                                                                                                                                                                                                                              |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1306        |0000000094|Cau hoi 4 cua mon Cong nghe phan mem (INT1306)                                                                                                                                                                                                                                                              |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1306        |0000000095|Cau hoi 5 cua mon Cong nghe phan mem (INT1306)                                                                                                                                                                                                                                                              |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1306        |0000000096|Cau hoi 6 cua mon Cong nghe phan mem (INT1306)                                                                                                                                                                                                                                                              |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1306        |0000000097|Cau hoi 7 cua mon Cong nghe phan mem (INT1306)                                                                                                                                                                                                                                                              |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1306        |0000000098|Cau hoi 8 cua mon Cong nghe phan mem (INT1306)                                                                                                                                                                                                                                                              |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1306        |0000000099|Cau hoi 9 cua mon Cong nghe phan mem (INT1306)                                                                                                                                                                                                                                                              |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1306        |0000000100|Cau hoi 10 cua mon Cong nghe phan mem (INT1306)                                                                                                                                                                                                                                                             |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1307        |0000000101|Cau hoi 1 cua mon Lap trinh Java (INT1307)                                                                                                                                                                                                                                                                  |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1307        |0000000102|Cau hoi 2 cua mon Lap trinh Java (INT1307)                                                                                                                                                                                                                                                                  |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1307        |0000000103|Cau hoi 3 cua mon Lap trinh Java (INT1307)                                                                                                                                                                                                                                                                  |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1307        |0000000104|Cau hoi 4 cua mon Lap trinh Java (INT1307)                                                                                                                                                                                                                                                                  |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1307        |0000000105|Cau hoi 5 cua mon Lap trinh Java (INT1307)                                                                                                                                                                                                                                                                  |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1307        |0000000106|Cau hoi 6 cua mon Lap trinh Java (INT1307)                                                                                                                                                                                                                                                                  |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1307        |0000000107|Cau hoi 7 cua mon Lap trinh Java (INT1307)                                                                                                                                                                                                                                                                  |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
